wOBA,Def,ISO+,wSB
0.291,-34.9,61,-1.6
0.291,11.1,66,-2.5
0.29,78,47,-0.9
0.29,-14.2,134,-1.8
0.29,-31.9,112,-0.9
0.29,3.2,79,-5.6
0.29,116.3,61,2.1
0.29,-14.9,93,-1.6
0.29,-0.9,68,1.7
0.29,88.4,46,38.1
0.29,-17.2,118,0.7
0.29,-7.5,96,-1
0.29,2.6,84,-0.4
0.29,0.8,85,-1.1
0.29,-1.7,70,0
0.29,8.9,79,-2.7
0.29,-28.3,61,-2.8
0.29,-15.1,55,0.2
0.29,-42.9,54,-1.7
0.29,21.7,95,-2.2
0.29,13.3,77,-1.2
0.29,-23.6,54,-1.9
0.29,-22.3,93,2.8
0.29,4.5,69,-4
0.289,33.9,69,-4.3
0.289,44.1,67,-0.9
0.289,36.5,42,-1.4
0.289,-13.4,80,1.1
0.289,32,63,3
0.289,34.1,47,4.2
0.289,-11.1,47,7
0.289,-29.6,69,0
0.289,8.4,79,-1
0.289,-5.2,74,-2.7
0.289,24.7,25,2.5
0.289,-18,77,-1.9
0.289,-5.4,60,3.9
0.289,25.5,63,4.7
0.289,10.2,65,-5.2
0.289,115.5,42,4.6
0.289,3.1,60,-0.1
0.289,100.2,92,-2.9
0.289,13.7,41,7.4
0.289,18.5,85,-2.1
0.289,-1.4,76,-1.3
0.289,19.1,45,-3
0.289,-2.7,52,11.2
0.289,-64,66,-4.1
0.289,-12.1,39,17.1
0.289,-16.9,82,-1.6
0.289,-12.5,58,15.3
0.288,58.3,57,-0.4
0.288,-41,84,-0.2
0.288,6.3,88,-2.6
0.288,85.5,55,-6
0.288,63.5,70,-2.6
0.288,9.4,61,1.9
0.288,-29.7,67,-0.2
0.288,27.3,61,-0.2
0.288,-2.9,51,-2.9
0.288,-1.5,55,10.8
0.288,31.2,62,-2.2
0.288,47.8,114,-0.1
0.288,-41.9,73,-5.1
0.288,0.9,67,-1.9
0.288,9.6,52,-0.2
0.288,47,85,-2.5
0.288,11.1,80,0
0.288,87.4,89,-1
0.288,11.5,55,1.5
0.288,-15.8,62,-2.4
0.288,-21.7,64,5.6
0.288,-16.5,85,-7.9
0.288,10.3,42,-1.8
0.288,39.6,60,-6.4
0.288,19.7,42,-1.1
0.288,13.5,47,-2.7
0.288,29.1,68,-4.9
0.288,19.4,61,-4.6
0.288,-24.3,90,-2.1
0.288,5.1,108,-0.4
0.288,15.1,79,0.1
0.287,41.1,59,-0.8
0.287,8.6,45,-2.2
0.287,1.2,55,-1.5
0.287,-16.7,81,0.2
0.287,5,71,-0.5
0.287,-9,81,-4
0.287,12,99,-2.6
0.287,22.3,45,-3.3
0.287,75.1,49,-9.2
0.287,109.3,61,6.1
0.287,-7.5,38,0.8
0.287,23.9,93,3
0.287,16,61,2.9
0.287,39.4,40,2.1
0.287,6,48,3.6
0.287,15.5,60,-2.8
0.287,4.5,65,-3.5
0.287,0.1,40,-2.2
0.287,-24.7,38,-1.7
0.287,30.9,79,-0.9
0.287,50.5,58,-5.4
0.287,7.9,48,-2.4
0.287,64.5,51,-2.6
0.287,19.3,50,-3
0.287,59.6,47,-2.4
0.286,3.4,99,-2.8
0.286,40.3,76,-6
0.286,12.3,50,1.5
0.286,60.2,54,31.3
0.286,-2.6,91,2.7
0.286,-24.7,77,-2.3
0.286,30.4,61,-2.9
0.286,29.1,82,0.3
0.286,29.7,48,-0.9
0.286,-13.8,58,11.1
0.286,39.7,53,-2.4
0.286,19.2,73,-2
0.286,2.3,72,-3.2
0.286,28.9,63,-2.4
0.286,6.2,63,0.3
0.286,6.6,49,0
0.286,197,40,-3.2
0.285,99.6,50,-6.3
0.285,10.1,78,-4.2
0.285,3.9,65,-8.5
0.285,17.2,56,-0.6
0.285,8.4,57,-3.4
0.285,54.1,46,10.4
0.285,-4.3,66,-0.6
0.285,66.1,92,-2.8
0.285,13.8,31,5.2
0.285,14.4,66,4.4
0.285,57.9,53,-2.8
0.285,24.1,58,6.7
0.285,18.5,90,0.7
0.285,13,65,-4.5
0.285,43.6,71,-0.1
0.284,-0.9,88,-1.7
0.284,-4.3,83,-2.4
0.284,9.8,88,1.5
0.284,7.3,80,7.8
0.284,88.6,67,-4.2
0.284,14.7,51,-1.5
0.284,59,54,-7.5
0.284,15.2,68,-7.1
0.284,36.8,55,-1.2
0.284,43.2,74,-0.3
0.284,82.5,53,1.8
0.284,49.6,49,-2.6
0.284,141.9,60,-7.2
0.284,1.6,61,4.6
0.284,20.7,77,-5.3
0.284,-5.9,57,-2.1
0.283,121.4,54,-9.6
0.283,38.1,59,-1.2
0.283,66.7,71,-1.1
0.283,8.7,78,6.3
0.283,0.6,55,10.1
0.283,17.1,40,-0.1
0.283,19,69,-3.6
0.283,5.9,60,-1
0.283,102,86,-4.4
0.283,12.3,56,2.2
0.283,-2.2,54,13.2
0.283,37.2,49,4.1
0.283,27.9,59,2.7
0.283,-1.7,97,-1.8
0.283,91.5,76,-2
0.283,10.5,59,3.1
0.283,85.4,47,-6
0.283,29.3,47,1.9
0.283,15.2,45,-0.5
0.283,11.8,47,-0.4
0.283,10.9,35,1.5
0.282,49.9,75,-4.5
0.282,-7.8,71,-0.8
0.282,-4.5,70,0.9
0.282,29,112,-0.9
0.282,-5.7,44,6.4
0.282,9.4,53,-1.2
0.282,130,92,-3.5
0.282,-4,47,19.1
0.282,29.9,44,0.1
0.282,156.6,49,24.6
0.282,16.4,66,-5.6
0.282,108.5,63,3.3
0.282,-21.3,77,-0.9
0.282,11.6,67,-3.7
0.282,43.5,75,1
0.282,46.9,87,-0.4
0.282,6.7,102,-0.7
0.281,15.6,69,0.2
0.281,87.5,56,13.4
0.281,-1.9,54,-2.5
0.281,30,62,-1.7
0.281,97.1,46,-2.9
0.281,2.5,72,-0.6
0.281,-1.2,70,1.4
0.281,13.7,84,0
0.281,-24,63,-3.3
0.281,41.6,57,-2.5
0.281,4.5,51,-0.7
0.281,-20.7,42,7.7
0.281,42.6,66,-2.7
0.281,-12.7,91,-2.1
0.281,42.1,52,-4.4
0.281,-14.8,64,-5.6
0.281,1.6,74,0.2
0.28,-4.1,54,0.3
0.28,-2.9,57,0.4
0.28,18.2,69,-4.2
0.28,45.1,46,-1.3
0.28,60.8,64,-3.2
0.28,147.8,82,-3.3
0.28,-3,55,-0.2
0.28,2.6,54,-2.1
0.28,46.8,62,0
0.28,3,46,1.2
0.28,34.5,74,-0.8
0.28,13.9,64,1.5
0.28,21.6,51,-2.3
0.28,2.8,61,-4
0.28,-0.1,41,0.2
0.28,59.5,62,-3
0.28,-2.2,90,-2
0.279,8.5,77,0.9
0.279,-13.9,109,-2.6
0.279,26.7,53,-6.7
0.279,15.7,35,0.8
0.279,-31.5,77,-0.2
0.279,12,97,5.1
0.279,25.1,61,3.6
0.279,-13.6,53,0.5
0.279,-2,91,0.2
0.279,14.4,38,-6
0.279,15,94,-1
0.279,34.4,47,3.9
0.279,17.5,31,-3.7
0.279,15.6,52,-1.3
0.279,19.5,78,-1.6
0.279,18.9,54,0.9
0.279,14.1,87,1.8
0.278,47.6,51,-2.3
0.278,-11.4,48,-4.5
0.278,26.9,43,-2.9
0.278,15.9,45,2.6
0.278,109.7,64,-4.8
0.278,16.4,37,4.6
0.278,10.9,37,9.3
0.278,-10.7,54,7.6
0.278,46,61,-2.5
0.278,39.4,70,-0.1
0.278,-12.5,57,-1.9
0.278,44.1,81,-3.1
0.278,203.3,51,-11.4
0.277,10.4,50,-1.7
0.277,55.4,73,-2.2
0.277,7.2,86,0.3
0.277,28.2,80,-1.5
0.277,-8.1,48,-4.5
0.276,81.4,54,-3.6
0.276,21.1,46,-1.6
0.276,16.2,44,3.9
0.276,17.7,62,-2.2
0.276,6.5,78,0.6
0.276,48.1,65,-1.8
0.276,16.4,101,-3.1
0.276,-2.4,60,2.6
0.276,51.6,83,-0.9
0.276,11.7,57,-2
0.275,55.3,70,-1.6
0.275,-9.8,41,-2.8
0.275,-6.7,77,-2.4
0.275,14.7,60,-2.2
0.275,21,61,-1.9
0.275,-32.9,54,-6
0.275,-2.4,58,-1.5
0.275,15.4,55,-1.3
0.275,17.4,47,-5.1
0.275,-34.2,40,-2.6
0.274,27.8,43,-2.3
0.274,29.4,54,-2.1
0.274,68.5,55,32.3
0.274,12.5,70,-0.3
0.274,2.2,50,-2.9
0.274,-18.7,76,-0.3
0.274,12.7,86,-0.7
0.274,62.6,54,-5.8
0.273,43.3,47,-0.8
0.273,65.9,97,0.4
0.273,25.3,68,0
0.273,9.8,45,1.2
0.273,68.6,53,0.6
0.273,44.9,70,-1.8
0.273,97.5,84,-1.1
0.273,-12.1,53,-3.9
0.273,85,38,2.6
0.273,42,45,0.6
0.272,-2.1,95,0.8
0.272,85.4,52,1.1
0.272,11.6,42,1.5
0.272,105.3,42,-2.5
0.272,96.8,67,-1.2
0.272,51.1,47,3.5
0.272,28.8,63,-0.4
0.272,23.5,95,-1
0.272,34.8,67,-1.8
0.272,64.7,51,0.4
0.272,7.6,45,-2.7
0.272,0.1,92,-1.6
0.272,3.5,51,1.5
0.272,345.6,43,6.4
0.271,-17.4,46,-1.9
0.271,51.9,81,-1.1
0.271,70.5,52,-16
0.271,99.2,71,2.6
0.271,218.6,61,-0.5
0.271,-5.9,49,-0.7
0.271,64.1,68,-2.5
0.27,20.2,42,1.2
0.27,20,44,-0.4
0.27,1.1,59,3
0.27,57.6,48,-3.7
0.27,71.7,56,-4.4
0.27,-54.7,64,-0.8
0.27,25.1,69,1.9
0.27,137.7,48,-4.1
0.27,1,62,-2.3
0.27,47.4,47,-2.1
0.269,19.5,45,1.1
0.269,22.2,51,-3.1
0.269,5.7,71,-0.6
0.269,34.8,50,4.1
0.269,4.1,59,0.3
0.269,15.1,38,0
0.269,45.7,78,-4.9
0.268,-6.4,65,-2.8
0.268,29.7,30,-4.7
0.268,-12,58,-3.4
0.268,9.9,33,0.5
0.268,18.7,44,-1.5
0.268,-14.4,79,-0.9
0.268,-9.6,37,-1
0.268,-11.4,46,5
0.268,15.8,64,-2.1
0.268,40.7,56,0.8
0.268,18.1,45,-2.9
0.268,9.8,59,-2.6
0.267,11.5,63,-0.3
0.267,-4.4,38,1.4
0.267,31.8,51,-2.8
0.267,4.3,33,-0.4
0.267,13.2,29,-0.2
0.267,1.2,74,-0.6
0.267,70.6,59,-6
0.267,63.2,35,16.9
0.267,18.7,62,-2.8
0.267,16.3,56,-0.8
0.267,29,72,-0.6
0.266,43.9,46,-1.5
0.266,2.6,42,-6.8
0.265,20.5,52,-2.6
0.265,13,44,-1.2
0.265,14.6,56,-0.3
0.265,23.5,45,-1.3
0.264,183.3,60,-5.5
0.264,23.3,79,-0.5
0.264,5.8,48,-2.3
0.264,-2.8,67,-0.4
0.264,101.1,41,-0.2
0.264,63,57,-2.4
0.264,9.5,84,-2.6
0.264,129.9,57,0.6
0.264,-1.4,39,-0.3
0.264,19.3,62,0
0.263,-2.3,52,-0.7
0.263,6.3,66,0.1
0.263,35.4,60,-2.6
0.263,51.3,63,-1.1
0.263,16.6,41,2.2
0.263,49,71,-0.1
0.262,17.9,38,-2.2
0.262,17.1,50,-1.2
0.262,38.8,50,-1
0.262,-6.1,62,2.6
0.262,-4.5,79,0.4
0.262,26.6,60,-3.5
0.261,-8.3,57,-1.5
0.261,35.2,39,-2
0.261,104.2,41,-0.5
0.261,117.3,40,-5
0.261,16.9,40,-0.7
0.261,23,77,-1.6
0.261,0.5,78,-3.6
0.261,57.1,61,-1.9
0.261,46.8,83,-7.7
0.261,33.3,48,-1.4
0.26,-2.2,45,-0.9
0.26,13.7,50,-2.3
0.26,7.2,44,1.4
0.26,14.4,48,-1.1
0.259,70.7,52,0.6
0.258,22.9,48,-1.8
0.258,-7.9,54,-1.6
0.257,19.5,36,13.8
0.257,-11.5,54,-1.2
0.257,49,48,-0.8
0.256,-1,47,0.6
0.256,-0.3,48,1
0.256,61.1,38,-2.4
0.256,29,47,-1.5
0.256,26.2,58,1.1
0.256,-8.8,65,-0.1
0.255,128.2,34,-1.5
0.255,95.5,89,0
0.255,67.7,65,0.5
0.255,64.3,73,-2.5
0.254,50.8,44,-4.6
0.254,-4,75,-0.2
0.253,72.6,39,-0.2
0.252,37.4,43,3.3
0.252,12.5,36,0.3
0.251,-9.3,34,-1.7
0.251,36.5,79,-0.9
0.25,-10,40,-0.1
0.25,6.8,59,-2.3
0.249,46.1,64,-1.8
0.249,87.8,86,0.2
0.249,18.6,61,-2.4
0.248,7.1,54,-2.3
0.248,16.7,45,-3.6
0.248,-21.8,35,1.3
0.247,109.7,74,-0.9
0.247,-3.2,73,0
0.247,24.2,46,-0.6
0.246,5.1,30,-4.4
0.246,65.7,53,-0.3
0.246,74.5,30,-0.8
0.246,20,34,0.2
0.245,71,55,-0.5
0.245,-11.9,52,-0.4
0.244,-13,45,-2.6
0.243,136.2,67,-2.6
0.243,84.9,30,0.7
0.242,8.4,49,-0.2
0.242,23.5,33,-1.9
0.242,7.6,60,-1.2
0.241,66.3,70,-0.1
0.241,73.1,28,1.1
0.24,77.3,37,0.2
0.239,34.9,41,-1.2
0.238,146.7,65,0.5
0.238,97.8,37,-0.9
0.238,2.6,40,-0.8
0.237,82.5,65,-0.2
0.237,69,36,1.1
0.237,47.7,60,-1.3
0.236,97.2,77,-0.5
0.235,4.4,47,-1.3
0.235,75.6,28,-0.2
0.234,18.5,22,-7.2
0.233,32.6,26,-0.3
0.232,32.5,37,-0.5
0.231,79.1,42,0.3
0.23,119.3,45,-0.2
0.228,68.3,75,0.1
0.226,102.2,63,0.9
0.224,77.2,70,0
0.222,75.9,33,-0.3
0.222,89,20,0.4
0.222,69.9,29,0.6
0.221,127.1,40,0.8
0.22,145.2,47,-0.2
0.219,83.8,32,0.2
0.215,79.7,32,0.3
0.214,64.1,43,-0.1
0.214,169.1,16,-0.1
0.214,81.6,49,0.8
0.213,89.6,48,0.3
0.213,64.1,25,1.9
0.208,81.1,48,-0.9
0.208,81.5,14,-0.1
0.207,74.8,71,-0.2
0.206,102.4,47,-0.8
0.205,93,30,-0.1
0.205,117.3,45,1
0.205,118.7,33,-0.4
0.203,67.1,38,0.8
0.202,103.6,46,-0.5
0.2,66.6,28,1.1
0.198,93.7,23,0.3
0.195,72.7,30,-0.1
0.195,95.4,21,-0.6
0.194,108,39,-1.4
0.193,91.8,18,0.4
0.192,85.9,39,0.1
0.188,64.1,15,0.6
0.186,67.6,27,-0.1
0.184,89.2,29,-0.3
0.181,99.3,30,-1.3
0.18,130.2,35,-0.2
0.18,104.1,30,-0.5
0.179,185.6,23,0.7
0.178,76.2,19,-0.1
0.177,87.5,27,-0.4
0.175,93.7,26,0.3
0.175,76.2,24,0.2
0.174,69,9,-0.5
0.174,74.2,9,0.1
0.172,62.4,29,-0.5
0.169,83.2,11,-0.5
0.163,86.8,54,0.4
0.162,117.1,10,0.4
0.146,91.1,26,0.1
0.139,79.1,18,0.3
0.138,94.2,15,0.3
